Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;47;13;346;93,11;0,00;0,13;5655066756
2;50;14;344;87,38;0,00;0,24;5655066756
3;52;15;339;83,83;0,00;0,31;5655066756
4;52;18;332;83,21;0,00;0,31;5655066756
5;53;22;332;80,85;0,00;0,34;5655066756
6;53;24;325;80,42;0,00;0,34;5655066756
7;53;28;320;79,60;0,00;0,34;5655066756
8;53;31;317;78,98;0,00;0,34;5655066756
9;54;34;316;76,91;0,00;0,37;5655066756
10;54;37;311;76,28;0,00;0,37;5655066756
11;54;40;309;75,65;0,00;0,37;5655066756
12;54;44;306;74,83;0,00;0,37;5655066756
13;54;47;304;74,20;0,00;0,37;5655066756
14;54;49;301;73,76;0,00;0,37;5655066756
15;54;52;298;73,13;0,00;0,37;5655066756
16;55;53;298;71,55;0,00;0,40;5655066756
17;55;51;297;71,82;0,00;0,40;5655066756
18;56;52;301;70,27;0,00;0,43;5655066756
19;56;53;296;69,98;0,00;0,43;5655066756
20;56;56;294;69,34;0,00;0,43;5655066756
21;56;56;294;69,23;0,00;0,43;5655066756
22;56;54;292;69,48;0,00;0,43;5655066756
23;57;55;295;67,98;0,00;0,46;5655066756
24;57;51;294;68,56;0,00;0,46;5655066756
25;57;51;298;68,44;0,00;0,46;5655066756
26;59;53;295;65,66;0,00;0,51;5655066756
27;59;48;297;66,36;0,00;0,51;5655066756
28;60;47;298;65,27;0,00;0,53;5655066756
29;61;48;299;63,87;0,00;0,56;5655066756
30;61;48;294;63,69;0,00;0,56;5655066756
31;62;48;295;62,48;0,00;0,58;5655066756
32;63;49;292;61,14;0,00;0,60;5655066756
33;63;49;292;60,94;0,00;0,60;5655066756
34;64;50;296;59,63;0,00;0,63;5655066756
35;64;50;290;59,41;0,00;0,63;5655066756
36;64;49;292;59,34;0,00;0,63;5655066756
37;65;51;295;57,91;0,00;0,65;5655066756
38;65;50;291;57,83;0,00;0,65;5655066756
39;65;50;290;57,60;0,00;0,65;5655066756
40;65;49;293;57,52;0,00;0,65;5655066756
41;65;48;292;57,45;0,00;0,65;5655066756
