Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;13;80;83,64;0,00;0,18;0565146670
2;11;16;75;75,45;0,00;0,18;0565146670
3;11;18;72;68,18;0,00;0,18;0565146670
4;11;22;68;59,09;0,00;0,18;0565146670
5;11;22;69;53,64;0,00;0,18;0565146670
6;11;23;69;47,82;0,00;0,18;0565146670
7;10;24;69;45,60;5,00;0,20;0565146670
8;10;27;67;37,60;5,00;0,20;0565146670
9;10;30;63;29,60;5,00;0,20;0565146670
10;10;34;57;20,60;5,00;0,20;0565146670
11;8;35;59;20,75;8,33;0,25;2441076227
12;6;38;57;19,67;9,40;0,33;2441076227
13;5;41;56;16,00;9,83;0,20;2441076227
14;3;44;55;20,00;10,63;0,00;2441076227
15;1;48;52;50,00;11,30;0,00;3671265701
16;1;52;48;50,00;11,30;0,00;3671265701
17;1;56;44;50,00;11,30;0,00;3671265701
18;1;60;40;50,00;11,30;0,00;3671265701
19;1;64;36;50,00;11,30;0,00;3671265701
20;1;69;31;40,00;11,30;0,00;3671265701
21;1;73;26;40,00;11,30;0,00;3671265701
22;1;77;22;40,00;11,30;0,00;3671265701
23;1;81;18;40,00;11,30;0,00;3671265701
24;1;85;14;40,00;11,30;0,00;3671265701
25;1;89;11;40,00;11,30;0,00;3671265701
26;1;93;6;40,00;11,30;0,00;3671265701
27;1;98;2;30,00;11,30;0,00;3671265701
28;1;100;0;30,00;11,30;0,00;3671265701
29;1;100;0;30,00;11,30;0,00;3671265701
30;1;100;0;30,00;11,30;0,00;3671265701
