Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;1;15;84;90,00;0,00;0,00;4642370356
2;1;19;80;90,00;0,00;0,00;4642370356
3;1;24;76;80,00;0,00;0,00;4642370356
4;1;29;71;70,00;0,00;0,00;4642370356
5;1;34;65;60,00;0,00;0,00;4642370356
6;1;39;60;50,00;0,00;0,00;4642370356
7;1;43;56;50,00;0,00;0,00;4642370356
8;1;47;52;50,00;0,00;0,00;4642370356
9;1;52;47;40,00;0,00;0,00;4642370356
10;1;57;42;30,00;0,00;0,00;4642370356
11;1;61;38;30,00;0,00;0,00;4642370356
12;1;66;33;20,00;0,00;0,00;4642370356
13;1;71;28;10,00;0,00;0,00;4642370356
14;1;75;25;10,00;0,00;0,00;4642370356
15;0;80;20;0,00;14,00;0,00;
