Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;14;80;82,73;0,00;0,18;5647547104
2;12;18;76;67,50;0,00;0,33;5647547104
3;12;20;71;60,00;0,00;0,33;5647547104
4;12;21;71;53,33;0,00;0,33;5647547104
5;12;21;70;47,50;0,00;0,33;5647547104
6;12;22;69;40,83;0,00;0,33;5647547104
7;12;23;69;34,17;0,00;0,33;5647547104
8;12;22;69;29,33;0,00;0,33;1406774456
9;11;24;66;24,91;8,00;0,27;1406774456
10;10;26;67;21,00;8,50;0,20;6256254457
11;8;28;68;20,25;9,00;0,25;1406774456
12;5;32;64;22,00;9,86;0,20;5647547104
13;3;35;63;33,33;10,11;0,00;1406774456
14;2;39;60;40,00;10,40;0,00;3474135574
15;1;43;57;80,00;10,73;0,00;3474135574
16;1;47;53;80,00;10,73;0,00;3474135574
