Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;1;15;84;90,00;0,00;0,00;0210324065
2;1;19;80;90,00;0,00;0,00;0210324065
3;1;24;75;80,00;0,00;0,00;0210324065
4;1;29;70;70,00;0,00;0,00;0210324065
5;1;34;65;60,00;0,00;0,00;0210324065
6;1;39;60;50,00;0,00;0,00;0210324065
7;1;44;55;40,00;0,00;0,00;0210324065
8;1;49;50;30,00;0,00;0,00;0210324065
9;1;54;45;20,00;0,00;0,00;0210324065
10;1;58;42;20,00;0,00;0,00;0210324065
11;1;63;36;10,00;0,00;0,00;0210324065
12;1;68;31;0,00;0,00;0,00;0210324065
13;0;73;27;0,00;12,00;0,00;
14;0;78;22;0,00;12,00;0,00;
15;0;83;17;0,00;12,00;0,00;
16;0;88;12;0,00;12,00;0,00;
17;0;93;7;0,00;12,00;0,00;
18;0;98;2;0,00;12,00;0,00;
