Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;112;15;299;88,39;0,00;0,21;1750522360
2;119;19;285;82,34;0,00;0,32;1750522360
3;124;20;280;78,38;0,00;0,39;1750522360
4;125;21;273;77,08;0,00;0,40;1750522360
5;127;24;269;75,04;0,00;0,43;1750522360
6;131;23;275;72,24;0,00;0,47;1750522360
7;134;24;269;69,94;0,00;0,51;1750522360
8;136;23;276;68,37;0,00;0,53;1750522360
9;139;23;269;66,27;0,00;0,56;5760217120
10;140;19;269;65,45;0,00;0,57;5760217120
11;140;20;261;64,74;0,00;0,57;5760217120
12;142;17;268;63,40;0,00;0,59;5760217120
13;143;16;269;62,38;0,00;0,60;5760217120
14;143;18;264;61,59;0,00;0,60;5760217120
15;143;16;270;61,08;0,00;0,60;5760217120
16;144;19;259;59,81;0,00;0,61;5760217120
17;146;21;259;58,21;0,00;0,63;5760217120
18;146;20;260;57,62;0,00;0,63;5760217120
19;147;21;263;56,50;0,00;0,64;5760217120
20;147;21;253;55,84;0,00;0,64;5760217120
21;147;23;249;55,05;0,00;0,64;5760217120
22;147;18;256;54,73;0,00;0,64;5760217120
