Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;76;14;322;91,32;0,00;0,16;0406150557
2;81;16;319;85,11;0,00;0,27;0406150557
3;84;19;313;81,35;0,00;0,33;0406150557
4;85;21;305;79,75;0,00;0,35;0406150557
5;86;22;306;78,30;0,00;0,37;0406150557
6;89;25;304;74,92;0,00;0,43;0406150557
7;91;27;297;72,63;0,00;0,46;0406150557
8;92;26;299;71,50;0,00;0,48;0406150557
9;92;28;287;70,83;0,00;0,48;0406150557
10;92;28;291;70,37;0,00;0,48;0406150557
11;93;28;289;69,16;0,00;0,49;0406150557
12;93;29;285;68,59;0,00;0,49;0406150557
13;93;29;294;68,13;0,00;0,49;0406150557
14;93;29;293;67,67;0,00;0,49;0406150557
15;94;33;288;66,06;0,00;0,51;0406150557
16;95;34;286;64,80;0,00;0,53;0406150557
17;96;30;293;64,07;0,00;0,54;0406150557
18;97;27;294;63,25;0,00;0,56;0406150557
19;97;28;285;62,66;0,00;0,56;0406150557
20;98;30;280;61,34;0,00;0,57;3727517676
21;98;28;280;61,05;0,00;0,57;1053667166
22;99;30;282;59,75;0,00;0,59;1053667166
23;99;30;282;59,25;0,00;0,59;1053667166
24;99;28;285;58,96;0,00;0,59;1053667166
25;100;27;280;57,98;0,00;0,60;1053667166
26;101;23;291;57,31;0,00;0,61;1053667166
27;101;21;289;57,00;0,00;0,61;3727517676
28;101;24;288;56,20;0,00;0,61;3727517676
29;101;22;293;55,89;0,00;0,61;1053667166
30;101;24;296;55,19;0,00;0,61;3727517676
31;101;28;287;54,29;0,00;0,61;1053667166
32;101;29;278;53,68;0,00;0,61;1053667166
33;102;29;284;52,66;0,00;0,63;1053667166
34;102;29;286;52,15;0,00;0,63;1053667166
35;102;26;284;51,93;0,00;0,63;3727517676
36;102;27;278;51,32;0,00;0,63;3727517676
37;102;25;286;51,01;0,00;0,63;3727517676
38;102;27;280;50,30;0,00;0,63;1053667166
39;102;29;287;49,60;0,00;0,63;3727517676
40;102;31;283;48,89;0,00;0,63;1053667166
41;102;27;287;48,77;0,00;0,63;1053667166
42;102;27;286;48,26;0,00;0,63;1053667166
43;103;29;282;47,10;0,00;0,64;1053667166
44;103;30;283;46,49;0,00;0,64;3727517676
45;103;30;285;45,97;0,00;0,64;3727517676
46;101;27;287;46,67;44,00;0,65;3727517676
47;100;26;285;46,64;44,00;0,66;1053667166
48;100;25;286;46,24;44,00;0,66;3727517676
49;100;22;293;46,04;44,00;0,66;1053667166
50;99;22;288;46,01;44,00;0,67;1053667166
51;99;25;290;45,21;44,00;0,67;1053667166
52;98;28;282;44,88;44,00;0,67;1053667166
53;97;29;284;44,75;44,00;0,68;0406150557
54;97;32;282;43,96;44,00;0,68;0406150557
55;97;33;279;43,37;44,00;0,68;0406150557
56;97;30;285;43,21;45,43;0,70;0406150557
57;95;28;295;43,85;47,33;0,72;0406150557
58;94;27;290;43,96;48,00;0,72;0406150557
59;94;24;297;43,81;48,00;0,72;0406150557
60;94;23;290;43,45;48,00;0,72;0406150557
61;92;24;294;43,83;48,17;0,74;0406150557
62;91;22;296;44,08;48,62;0,75;0406150557
63;91;16;304;44,29;48,62;0,75;0406150557
