Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;75;90,00;0,00;0,00;1771555001
2;10;19;72;81,00;0,00;0,00;1771555001
3;10;22;70;73,00;0,00;0,00;1771555001
4;10;25;66;65,00;0,00;0,00;1771555001
5;10;28;64;57,00;0,00;0,00;1771555001
6;10;29;66;51,00;0,00;0,00;1771555001
7;10;30;63;45,00;0,00;0,00;1771555001
8;10;31;63;39,00;0,00;0,00;1771555001
9;10;35;58;30,00;0,00;0,00;1771555001
10;10;35;59;25,00;0,00;0,00;1771555001
11;8;37;57;23,75;10,00;0,00;1771555001
