Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;76;90,00;0,00;0,00;6675271647
2;12;19;75;67,50;0,00;0,33;6675271647
3;12;22;66;59,17;0,00;0,33;6675271647
4;12;26;66;50,83;0,00;0,33;6675271647
5;12;31;62;41,67;0,00;0,33;6675271647
6;12;34;58;33,33;0,00;0,33;6675271647
7;12;39;54;25,00;0,00;0,33;6675271647
8;12;41;50;19,83;0,00;0,33;6675271647
9;10;43;51;16,60;7,00;0,30;6675271647
10;8;46;49;14,75;7,50;0,25;6675271647
11;4;50;46;17,50;8,75;0,25;3754264712
12;2;55;44;30,00;9,20;0,00;3754264712
13;2;60;39;25,00;9,20;0,00;3754264712
14;2;63;35;25,00;9,20;0,00;3754264712
