Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;275;90,00;0,00;0,00;0554102051
2;10;19;272;81,00;0,00;0,00;0554102051
3;10;24;268;71,00;0,00;0,00;0554102051
4;10;29;261;61,00;0,00;0,00;0554102051
5;10;33;258;52,00;0,00;0,00;0554102051
6;10;38;254;42,00;0,00;0,00;0554102051
7;10;41;250;34,00;0,00;0,00;0554102051
8;10;44;246;26,00;0,00;0,00;0554102051
9;10;49;241;16,00;0,00;0,00;0554102051
10;10;53;238;7,00;0,00;0,00;0554102051
11;4;57;239;10,00;10,00;0,00;1067556325
12;2;61;237;15,00;10,25;0,00;1067556325
13;1;65;234;30,00;10,44;0,00;1067556325
14;1;69;231;30,00;10,44;0,00;1067556325
15;1;73;227;30,00;10,44;0,00;1067556325
16;1;77;223;30,00;10,44;0,00;1067556325
17;1;81;219;30,00;10,44;0,00;1067556325
18;1;85;215;30,00;10,44;0,00;1067556325
19;1;89;211;30,00;10,44;0,00;1067556325
20;1;94;205;20,00;10,44;0,00;1067556325
21;1;99;200;10,00;10,44;0,00;1067556325
22;1;104;195;0,00;10,44;0,00;1067556325
23;0;109;191;0,00;11,60;0,00;
24;0;114;186;0,00;11,60;0,00;
25;0;119;181;0,00;11,60;0,00;
26;0;124;176;0,00;11,60;0,00;
27;0;129;171;0,00;11,60;0,00;
28;0;134;166;0,00;11,60;0,00;
29;0;139;161;0,00;11,60;0,00;
30;0;144;156;0,00;11,60;0,00;
31;0;149;151;0,00;11,60;0,00;
32;0;154;146;0,00;11,60;0,00;
33;0;159;141;0,00;11,60;0,00;
34;0;164;136;0,00;11,60;0,00;
35;0;169;131;0,00;11,60;0,00;
36;0;174;126;0,00;11,60;0,00;
37;0;179;121;0,00;11,60;0,00;
38;0;184;116;0,00;11,60;0,00;
39;0;189;111;0,00;11,60;0,00;
40;0;194;106;0,00;11,60;0,00;
41;0;199;101;0,00;11,60;0,00;
42;0;204;96;0,00;11,60;0,00;
43;0;209;91;0,00;11,60;0,00;
44;0;214;86;0,00;11,60;0,00;
45;0;219;81;0,00;11,60;0,00;
46;0;224;76;0,00;11,60;0,00;
47;0;229;71;0,00;11,60;0,00;
48;0;234;66;0,00;11,60;0,00;
49;0;239;61;0,00;11,60;0,00;
50;0;244;56;0,00;11,60;0,00;
51;0;249;51;0,00;11,60;0,00;
52;0;254;46;0,00;11,60;0,00;
53;0;259;41;0,00;11,60;0,00;
54;0;264;36;0,00;11,60;0,00;
55;0;269;31;0,00;11,60;0,00;
56;0;274;26;0,00;11,60;0,00;
57;0;279;21;0,00;11,60;0,00;
58;0;284;16;0,00;11,60;0,00;
59;0;289;11;0,00;11,60;0,00;
60;0;294;6;0,00;11,60;0,00;
61;0;299;1;0,00;11,60;0,00;
62;0;300;0;0,00;11,60;0,00;
63;0;300;0;0,00;11,60;0,00;
64;0;300;0;0,00;11,60;0,00;
65;0;300;0;0,00;11,60;0,00;
66;0;300;0;0,00;11,60;0,00;
