Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;14;76;91,00;0,00;0,00;3524724444
2;10;18;73;82,00;0,00;0,00;3524724444
3;10;21;69;74,00;0,00;0,00;3524724444
4;10;23;70;67,00;0,00;0,00;3524724444
5;10;27;65;58,00;0,00;0,00;3524724444
6;10;30;61;50,00;0,00;0,00;3524724444
7;10;31;63;44,00;0,00;0,00;3524724444
8;10;33;59;37,00;0,00;0,00;3524724444
9;10;34;59;31,00;0,00;0,00;3524724444
10;10;35;58;25,00;0,00;0,00;3524724444
11;9;35;57;22,22;10,00;0,00;0575757152
12;4;38;60;40,00;10,83;0,00;0575757152
13;4;42;56;32,50;10,83;0,00;0575757152
14;4;45;53;27,50;10,83;0,00;0575757152
