Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;14;79;82,73;0,00;0,18;4643226207
2;11;16;75;75,45;0,00;0,18;4643226207
3;11;20;70;66,36;0,00;0,18;4643226207
4;11;23;68;58,18;0,00;0,18;4643226207
5;11;25;69;50,91;0,00;0,18;4643226207
6;11;26;67;44,55;0,00;0,18;4643226207
7;11;26;68;39,64;0,00;0,18;4643226207
8;10;29;65;34,60;6,00;0,20;4643226207
9;10;32;61;26,60;6,00;0,20;4643226207
10;10;34;58;19,60;6,00;0,20;4643226207
11;9;37;57;14,00;8,00;0,22;4643226207
12;7;40;55;9,71;9,50;0,29;4643226207
13;3;45;53;13,33;10,75;0,33;4643226207
14;2;50;49;10,00;11,00;0,00;4561641777
15;2;55;44;0,00;11,00;0,00;4561641777
16;0;60;40;0,00;11,73;0,00;
17;0;65;35;0,00;11,73;0,00;
18;0;70;30;0,00;11,73;0,00;
19;0;75;25;0,00;11,73;0,00;
20;0;80;20;0,00;11,73;0,00;
21;0;85;15;0,00;11,73;0,00;
