Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;15;76;81,82;0,00;0,18;0634726275
2;12;19;72;66,67;0,00;0,33;0634726275
3;12;22;66;58,33;0,00;0,33;0634726275
4;12;25;66;50,00;0,00;0,33;0634726275
5;12;28;63;41,67;0,00;0,33;0634726275
6;12;32;57;32,50;0,00;0,33;0634726275
7;12;34;56;25,00;0,00;0,33;0634726275
8;12;34;57;20,50;0,00;0,33;0634726275
9;8;37;57;22,00;7,25;0,25;3106610445
10;8;37;58;18,50;7,25;0,25;3106610445
11;6;40;55;14,67;8,17;0,17;4131255002
12;5;42;56;13,60;8,57;0,20;4131255002
13;2;47;51;15,00;9,60;0,50;0060520255
14;1;52;47;20,00;9,91;0,00;7121163653
15;1;56;44;20,00;9,91;0,00;7121163653
16;1;61;38;10,00;9,91;0,00;7121163653
17;1;65;35;10,00;9,91;0,00;7121163653
