Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;16;13;75;85,63;0,00;0,13;6114026462
2;17;15;71;72,94;0,00;0,24;6114026462
3;17;17;68;64,71;0,00;0,24;6114026462
4;17;21;66;55,29;0,00;0,24;6114026462
5;17;24;63;46,47;0,00;0,24;6114026462
6;17;28;57;37,41;0,00;0,24;6114026462
7;16;31;57;31,00;5,00;0,25;6114026462
8;16;33;54;23,25;5,00;0,25;6114026462
9;13;33;58;22,92;7,25;0,08;6114026462
10;12;35;58;16,50;7,20;0,08;6114026462
11;9;37;57;13,11;8,25;0,11;4515063605
12;7;39;57;10,00;8,80;0,14;4515063605
13;4;41;57;15,00;9,54;0,00;6076605770
14;3;43;56;16,67;9,79;0,00;6137655765
15;2;46;54;20,00;10,07;0,00;0703600435
16;2;49;50;20,00;10,07;0,00;0703600435
