Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;2;15;83;90,00;0,00;0,00;7121046106
2;3;20;80;53,33;0,00;0,67;7121046106
3;3;24;74;46,67;0,00;0,67;7121046106
4;3;29;68;36,67;0,00;0,67;7121046106
5;3;33;66;30,00;0,00;0,67;7121046106
6;3;38;59;20,00;0,00;0,67;7121046106
7;3;41;58;16,67;0,00;0,67;7121046106
8;3;44;53;14,00;0,00;0,67;7121046106
9;2;48;50;14,00;8,00;0,50;6021634006
10;1;52;47;28,00;7,50;1,00;6021634006
11;1;57;42;18,00;7,50;1,00;6021634006
12;1;62;37;8,00;7,50;1,00;6021634006
13;1;67;32;0,00;7,50;1,00;6021634006
14;0;72;28;0,00;9,33;0,00;
15;0;77;23;0,00;9,33;0,00;
16;0;82;18;0,00;9,33;0,00;
17;0;87;13;0,00;9,33;0,00;
18;0;92;8;0,00;9,33;0,00;
19;0;97;3;0,00;9,33;0,00;
20;0;100;0;0,00;9,33;0,00;
