Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;14;76;91,00;0,00;0,00;2063225310
2;10;19;71;81,00;0,00;0,00;2063225310
3;10;22;70;73,00;0,00;0,00;2063225310
4;10;25;66;65,00;0,00;0,00;2063225310
5;10;27;67;58,00;0,00;0,00;2063225310
6;10;30;63;50,00;0,00;0,00;2063225310
7;10;34;59;41,00;0,00;0,00;2063225310
8;10;38;54;32,00;0,00;0,00;2063225310
9;10;41;52;24,00;0,00;0,00;2063225310
10;10;42;50;18,00;0,00;0,00;2063225310
11;8;41;54;18,75;10,00;0,00;3401151372
12;4;44;55;27,50;10,67;0,00;3401151372
13;4;46;53;25,00;10,67;0,00;3401151372
14;3;49;49;30,00;11,00;0,00;3401151372
15;3;53;44;23,33;11,00;0,00;3401151372
16;3;56;43;20,00;11,00;0,00;3401151372
