Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;75;90,00;0,00;0,00;1044300360
2;10;19;71;81,00;0,00;0,00;1044300360
3;10;24;67;71,00;0,00;0,00;1044300360
4;10;28;64;62,00;0,00;0,00;1044300360
5;10;33;59;52,00;0,00;0,00;1044300360
6;10;37;54;43,00;0,00;0,00;1044300360
7;10;37;54;38,00;0,00;0,00;1044300360
8;10;40;51;30,00;0,00;0,00;1044300360
9;10;43;49;22,00;0,00;0,00;1044300360
10;10;45;48;15,00;0,00;0,00;1044300360
11;8;47;47;12,50;10,00;0,00;1044300360
12;5;48;49;16,00;10,60;0,00;1044300360
13;4;49;49;17,50;10,83;0,00;1044300360
14;3;52;47;16,67;11,14;0,00;1044300360
15;3;56;42;10,00;11,14;0,00;1044300360
