Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;75;90,00;0,00;0,00;5337005312
2;11;18;75;74,55;0,00;0,18;5337005312
3;11;22;71;65,45;0,00;0,18;5337005312
4;11;25;67;57,27;0,00;0,18;5337005312
5;11;29;61;48,18;0,00;0,18;5337005312
6;11;31;61;40,91;0,00;0,18;5337005312
7;11;34;57;33,27;0,00;0,18;5337005312
8;10;35;58;31,00;5,00;0,20;5337005312
9;8;39;56;30,00;7,00;0,00;5337005312
10;8;41;53;23,75;7,00;0,00;5337005312
11;7;44;51;20,00;7,75;0,00;5337005312
12;4;47;50;30,00;9,14;0,00;5337005312
