Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;76;90,00;0,00;0,00;3252564572
2;11;19;72;73,64;0,00;0,18;3252564572
3;11;24;66;63,64;0,00;0,18;3252564572
4;11;26;65;56,36;0,00;0,18;3252564572
5;11;29;64;48,18;0,00;0,18;3252564572
6;11;31;62;40,91;0,00;0,18;3252564572
7;11;33;59;33,64;0,00;0,18;3252564572
8;11;35;55;26,36;0,00;0,18;3252564572
9;11;37;56;19,27;0,00;0,18;3252564572
10;10;39;55;14,80;9,00;0,10;3252564572
11;5;41;58;23,60;9,50;0,20;3671004121
12;3;44;55;32,67;9,88;0,33;3671004121
