Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;12;78;93,00;0,00;0,00;3511066026
2;11;17;75;75,45;0,00;0,18;3511066026
3;11;20;72;67,27;0,00;0,18;3511066026
4;11;23;68;59,09;0,00;0,18;3511066026
5;11;23;68;53,64;0,00;0,18;3511066026
6;11;23;69;48,18;0,00;0,18;3511066026
7;11;24;67;41,82;0,00;0,18;3511066026
8;11;24;70;36,91;0,00;0,18;3511066026
9;10;24;69;35,60;6,00;0,20;3511066026
10;10;25;68;29,60;6,00;0,20;3511066026
11;9;28;65;25,11;8,00;0,22;1527672130
12;8;30;65;22,25;9,00;0,25;1527672130
13;7;33;64;18,29;9,75;0,14;1527672130
14;5;35;62;19,60;10,83;0,20;1527672130
15;4;37;61;22,00;11,29;0,25;1527672130
16;3;41;58;19,33;11,75;0,33;1527672130
17;3;43;55;20,00;11,75;0,33;1527672130
18;2;48;51;15,00;12,33;0,00;1527672130
19;2;53;45;5,00;12,33;0,00;1527672130
20;1;58;42;0,00;13,00;0,00;1527672130
21;0;63;37;0,00;13,64;0,00;
22;0;68;32;0,00;13,64;0,00;
23;0;73;27;0,00;13,64;0,00;
24;0;78;22;0,00;13,64;0,00;
25;0;83;17;0,00;13,64;0,00;
26;0;88;12;0,00;13,64;0,00;
27;0;93;7;0,00;13,64;0,00;
28;0;98;2;0,00;13,64;0,00;
29;0;100;0;0,00;13,64;0,00;
30;0;100;0;0,00;13,64;0,00;
