Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;1295;90,00;0,00;0,00;0342647563
2;10;20;1290;80,00;0,00;0,00;0342647563
3;10;25;1285;70,00;0,00;0,00;0342647563
4;10;30;1280;60,00;0,00;0,00;0342647563
5;10;34;1276;51,00;0,00;0,00;0342647563
6;10;39;1272;41,00;0,00;0,00;0342647563
7;10;44;1266;31,00;0,00;0,00;0342647563
8;10;49;1261;21,00;0,00;0,00;0342647563
9;10;54;1258;11,00;0,00;0,00;0342647563
10;10;58;1252;2,00;0,00;0,00;0342647563
11;1;63;1256;0,00;10,00;0,00;2110721665
12;0;68;1252;0,00;10,10;0,00;
13;0;73;1247;0,00;10,10;0,00;
14;0;78;1242;0,00;10,10;0,00;
15;0;83;1237;0,00;10,10;0,00;
16;0;88;1232;0,00;10,10;0,00;
17;0;93;1227;0,00;10,10;0,00;
18;0;98;1222;0,00;10,10;0,00;
19;0;103;1217;0,00;10,10;0,00;
