Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;13;78;92,00;0,00;0,00;1125662434
2;10;18;72;82,00;0,00;0,00;1125662434
3;10;22;69;73,00;0,00;0,00;1125662434
4;10;27;65;63,00;0,00;0,00;1125662434
5;10;30;61;55,00;0,00;0,00;1125662434
6;10;33;61;47,00;0,00;0,00;1125662434
7;10;34;61;41,00;0,00;0,00;1125662434
8;10;34;60;36,00;0,00;0,00;1125662434
9;10;35;60;30,00;0,00;0,00;1125662434
10;10;38;54;22,00;0,00;0,00;1125662434
11;8;41;53;20,00;10,00;0,00;1125662434
12;6;44;53;20,00;10,50;0,00;5145167154
13;5;46;49;20,00;10,80;0,00;5145167154
14;3;51;47;23,33;11,43;0,00;5226210447
15;3;54;43;20,00;11,43;0,00;5226210447
16;2;59;39;20,00;11,88;0,00;5226210447
17;2;63;35;15,00;11,88;0,00;5226210447
