Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;76;90,00;0,00;0,00;1224230222
2;10;19;72;81,00;0,00;0,00;1224230222
3;10;22;69;73,00;0,00;0,00;1224230222
4;10;25;66;65,00;0,00;0,00;1224230222
5;10;27;64;58,00;0,00;0,00;1224230222
6;10;30;62;50,00;0,00;0,00;1224230222
7;10;34;58;41,00;0,00;0,00;1224230222
8;10;36;56;34,00;0,00;0,00;1224230222
9;10;38;55;27,00;0,00;0,00;1224230222
10;10;42;52;18,00;0,00;0,00;1224230222
11;6;45;50;23,33;10,00;0,00;7474054301
12;4;47;49;30,00;10,33;0,00;0533334117
13;3;49;48;36,67;10,57;0,00;0533334117
14;3;52;45;33,33;10,57;0,00;0533334117
15;3;56;41;26,67;10,57;0,00;0533334117
16;3;60;38;20,00;10,57;0,00;0533334117
