Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;1;15;85;90,00;0,00;0,00;6145677665
2;1;20;80;80,00;0,00;0,00;6145677665
3;1;25;75;80,00;0,00;0,00;6145677665
4;1;30;70;70,00;0,00;0,00;6145677665
5;1;35;65;70,00;0,00;0,00;6145677665
6;1;39;61;70,00;0,00;0,00;6145677665
7;1;44;56;60,00;0,00;0,00;6145677665
8;1;49;51;50,00;0,00;0,00;6145677665
9;1;54;46;40,00;0,00;0,00;6145677665
10;1;59;41;40,00;0,00;0,00;6145677665
11;1;64;36;30,00;0,00;0,00;6145677665
12;1;69;31;30,00;0,00;0,00;6145677665
13;1;74;26;30,00;0,00;0,00;6145677665
14;1;78;22;30,00;0,00;0,00;6145677665
15;1;83;17;30,00;0,00;0,00;6145677665
16;1;87;13;30,00;0,00;0,00;6145677665
17;1;91;9;30,00;0,00;0,00;6145677665
18;1;96;4;30,00;0,00;0,00;6145677665
19;1;100;0;30,00;0,00;0,00;6145677665
20;1;100;0;30,00;0,00;0,00;6145677665
21;1;100;0;30,00;0,00;0,00;6145677665
22;1;100;0;30,00;0,00;0,00;6145677665
23;1;100;0;30,00;0,00;0,00;6145677665
24;1;100;0;30,00;0,00;0,00;6145677665
25;1;100;0;30,00;0,00;0,00;6145677665
26;1;100;0;30,00;0,00;0,00;6145677665
27;1;100;0;30,00;0,00;0,00;6145677665
28;1;100;0;30,00;0,00;0,00;6145677665
29;1;100;0;30,00;0,00;0,00;6145677665
30;1;100;0;30,00;0,00;0,00;6145677665
