Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;75;90,00;0,00;0,00;3406170342
2;12;19;74;67,50;0,00;0,33;3406170342
3;12;24;65;57,50;0,00;0,33;3406170342
4;12;28;62;48,33;0,00;0,33;3406170342
5;12;31;59;40,00;0,00;0,33;3406170342
6;12;32;60;33,33;0,00;0,33;3406170342
7;12;36;52;25,17;0,00;0,33;3406170342
8;10;39;53;22,40;5,00;0,40;3406170342
9;9;43;49;16,67;6,00;0,33;3406170342
10;6;43;53;21,67;7,50;0,00;3406170342
11;3;47;51;30,00;8,33;0,00;3406170342
12;3;50;48;26,67;8,33;0,00;3406170342
13;2;53;46;35,00;8,70;0,00;7774440346
14;2;57;42;30,00;8,70;0,00;7774440346
15;2;61;38;25,00;8,70;0,00;7774440346
16;2;65;34;20,00;8,70;0,00;7774440346
17;2;69;30;15,00;8,70;0,00;7774440346
18;2;72;28;15,00;8,70;0,00;7774440346
19;1;76;24;20,00;9,55;0,00;6634032523
20;1;80;20;20,00;9,55;0,00;6634032523
21;1;85;14;10,00;9,55;0,00;6634032523
22;1;89;11;10,00;9,55;0,00;6634032523
23;0;94;6;0,00;10,58;0,00;
