Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;14;77;91,00;0,00;0,00;0744272113
2;10;17;76;83,00;0,00;0,00;0744272113
3;10;20;72;75,00;0,00;0,00;0744272113
4;10;23;70;67,00;0,00;0,00;0744272113
5;10;27;65;58,00;0,00;0,00;0744272113
6;10;30;63;50,00;0,00;0,00;0744272113
7;10;32;62;43,00;0,00;0,00;0744272113
8;10;34;59;36,00;0,00;0,00;0744272113
9;10;36;58;29,00;0,00;0,00;0744272113
10;10;37;55;23,00;0,00;0,00;0744272113
11;7;37;59;28,57;10,00;0,00;1374175006
12;5;39;59;34,00;10,40;0,00;4731474160
13;5;42;56;28,00;10,40;0,00;4731474160
14;5;44;55;24,00;10,40;0,00;4311143615
15;4;47;50;25,00;11,00;0,00;4311143615
16;4;48;51;25,00;11,00;0,00;4311143615
17;3;50;49;30,00;11,71;0,00;4311143615
18;3;53;45;26,67;11,71;0,00;4311143615
19;3;56;42;23,33;11,71;0,00;4731474160
20;3;59;39;20,00;11,71;0,00;4731474160
21;3;62;37;16,67;11,71;0,00;4731474160
22;2;66;33;15,00;12,88;0,00;4311143615
23;1;70;30;30,00;13,89;0,00;4311143615
