Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;14;76;91,00;0,00;0,00;67
2;10;19;71;81,00;0,00;0,00;67
3;10;24;68;71,00;0,00;0,00;67
4;10;27;64;63,00;0,00;0,00;67
5;10;28;65;57,00;0,00;0,00;67
6;10;30;62;50,00;0,00;0,00;67
7;10;30;61;45,00;0,00;0,00;67
8;10;35;56;35,00;0,00;0,00;67
9;10;38;54;27,00;0,00;0,00;67
10;10;40;53;20,00;0,00;0,00;67
11;9;42;51;15,56;10,00;0,00;67
12;4;45;52;27,50;10,83;0,00;67
13;3;49;49;26,67;11,00;0,00;67
14;2;52;46;40,00;11,25;0,00;67
