Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;14;78;91,00;0,00;0,00;7645324500
2;11;17;74;75,45;0,00;0,18;7645324500
3;11;20;73;67,27;0,00;0,18;7645324500
4;11;23;70;59,09;0,00;0,18;4577373565
5;11;26;65;50,91;0,00;0,18;4577373565
6;11;28;64;43,64;0,00;0,18;7645324500
7;11;31;61;36,00;0,00;0,18;7645324500
8;10;33;60;32,60;5,00;0,20;7645324500
9;10;34;60;26,80;5,00;0,20;7645324500
10;9;34;60;24,22;7,00;0,11;4577373565
11;6;35;63;31,33;8,80;0,17;4577373565
12;5;37;60;33,60;9,17;0,20;4577373565
13;5;40;56;27,60;9,17;0,20;4577373565
14;5;42;55;23,60;9,17;0,20;4577373565
15;4;47;49;17,00;9,86;0,25;4577373565
16;4;52;45;7,50;9,86;0,25;4577373565
17;2;56;43;10,00;11,22;0,00;4643732061
18;1;60;40;10,00;11,80;0,00;4643732061
19;0;65;35;0,00;12,36;0,00;
20;0;70;30;0,00;12,36;0,00;
21;0;75;25;0,00;12,36;0,00;
22;0;80;20;0,00;12,36;0,00;
23;0;85;15;0,00;12,36;0,00;
24;0;90;10;0,00;12,36;0,00;
25;0;95;5;0,00;12,36;0,00;
26;0;100;0;0,00;12,36;0,00;
27;0;100;0;0,00;12,36;0,00;
28;0;100;0;0,00;12,36;0,00;
29;0;100;0;0,00;12,36;0,00;
30;0;100;0;0,00;12,36;0,00;
31;0;100;0;0,00;12,36;0,00;
32;0;100;0;0,00;12,36;0,00;
