Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;14;77;82,73;0,00;0,18;2712174663
2;11;16;75;75,45;0,00;0,18;2712174663
3;11;18;73;68,18;0,00;0,18;2712174663
4;11;20;71;60,91;0,00;0,18;2712174663
5;11;24;69;51,82;0,00;0,18;2712174663
6;11;26;66;44,55;0,00;0,18;2712174663
7;11;29;63;36,91;0,00;0,18;2712174663
8;10;31;62;33,80;6,00;0,20;2712174663
9;9;34;60;29,78;7,00;0,11;2712174663
10;9;37;55;22,00;7,00;0,11;2712174663
11;7;40;53;21,14;8,50;0,14;0313615536
12;5;44;52;19,60;9,33;0,20;0313615536
13;5;48;48;11,60;9,33;0,20;0313615536
