Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;26;14;362;95,58;0,00;0,08;4213156777
2;27;18;360;91,44;0,00;0,15;4213156777
3;28;21;354;87,93;0,00;0,21;4213156777
4;30;26;349;81,13;0,00;0,33;4213156777
5;30;30;342;80,47;0,00;0,33;4213156777
6;31;35;336;76,90;0,00;0,39;4213156777
7;31;38;332;76,55;0,00;0,39;4213156777
8;31;42;328;75,87;0,00;0,39;4213156777
9;32;46;325;72,84;0,00;0,44;4213156777
10;32;46;324;73,41;0,00;0,44;4213156777
11;33;50;322;70,52;0,00;0,48;3764416727
12;34;52;318;68,35;0,00;0,53;3764416727
13;34;52;317;68,82;0,00;0,53;3764416727
14;34;56;313;68,12;0,00;0,53;3764416727
15;34;59;309;67,71;0,00;0,53;3764416727
16;34;62;307;67,29;0,00;0,53;3764416727
17;34;64;304;67,18;0,00;0,53;3764416727
18;34;65;303;67,35;0,00;0,53;3764416727
19;35;67;305;65,31;0,00;0,57;3764416727
20;35;66;299;66,03;0,00;0,57;3764416727
21;35;63;306;67,31;0,00;0,57;3764416727
22;36;60;311;66,69;0,00;0,61;3764416727
23;36;58;310;67,64;0,00;0,61;3764416727
24;37;58;308;66,19;0,00;0,65;3764416727
25;37;56;307;67,08;0,00;0,65;3764416727
26;38;54;311;66,18;0,00;0,68;3764416727
27;38;53;309;66,76;0,00;0,68;3764416727
28;38;52;313;67,34;0,00;0,68;3764416727
29;38;54;311;67,13;0,00;0,68;3764416727
30;38;52;312;67,97;0,00;0,68;3764416727
31;38;51;313;68,55;0,00;0,68;3764416727
32;38;45;320;70,45;0,00;0,68;3764416727
33;38;48;314;69,97;0,00;0,68;3764416727
34;39;49;314;68,23;0,00;0,72;3764416727
35;39;49;315;68,51;0,00;0,72;3764416727
36;40;52;312;66,33;0,00;0,75;3764416727
37;40;53;309;66,33;0,00;0,75;3764416727
