Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;14;77;91,00;0,00;0,00;2641617214
2;10;18;73;82,00;0,00;0,00;2641617214
3;10;21;71;74,00;0,00;0,00;2641617214
4;10;23;70;67,00;0,00;0,00;2641617214
5;10;27;68;59,00;0,00;0,00;2641617214
6;10;30;64;53,00;0,00;0,00;2641617214
7;10;33;59;45,00;0,00;0,00;2641617214
8;10;37;58;37,00;0,00;0,00;2641617214
9;10;40;54;31,00;0,00;0,00;2641617214
10;10;44;54;25,00;0,00;0,00;2641617214
11;10;45;49;20,00;0,00;0,00;2641617214
12;8;47;50;20,00;11,00;0,00;2641617214
13;6;51;46;18,33;11,50;0,00;2641617214
14;4;55;43;15,00;12,00;0,00;2641617214
15;3;59;39;16,67;12,29;0,00;2641617214
16;2;63;36;15,00;12,63;0,00;2641617214
17;2;67;31;10,00;12,63;0,00;2641617214
18;1;72;28;10,00;13,11;0,00;2641617214
19;0;77;23;0,00;13,60;0,00;
20;0;82;18;0,00;13,60;0,00;
21;0;87;13;0,00;13,60;0,00;
22;0;92;8;0,00;13,60;0,00;
23;0;97;3;0,00;13,60;0,00;
24;0;100;0;0,00;13,60;0,00;
