Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;75;90,00;0,00;0,00;7307256012
2;11;19;73;73,64;0,00;0,18;7307256012
3;11;23;68;64,55;0,00;0,18;7307256012
4;11;26;65;56,36;0,00;0,18;7307256012
5;11;30;60;47,27;0,00;0,18;7307256012
6;11;33;59;39,09;0,00;0,18;7307256012
7;11;35;57;32,36;0,00;0,18;7307256012
8;10;36;57;29,60;5,00;0,20;7307256012
9;10;37;56;23,80;5,00;0,20;7307256012
10;9;40;53;18,67;7,00;0,11;7307256012
11;8;40;54;16,00;8,00;0,13;7307256012
12;5;44;52;16,00;9,50;0,20;7307256012
13;4;49;48;10,00;9,86;0,00;7307256012
14;2;53;46;15,00;10,56;0,00;7307256012
15;1;57;43;30,00;10,90;0,00;3641621406
16;1;61;38;30,00;10,90;0,00;3641621406
17;1;65;34;30,00;10,90;0,00;3641621406
18;1;70;29;20,00;10,90;0,00;3641621406
