Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;113;14;300;87,70;0,00;0,23;7215405606
2;120;14;295;82,06;0,00;0,33;7762107123
3;122;17;275;79,89;0,00;0,36;7215405606
4;124;14;284;78,27;0,00;0,39;7215405606
5;128;19;272;74,85;0,00;0,44;7215405606
6;129;18;274;73,74;0,00;0,45;7215405606
7;130;18;271;72,57;0,00;0,46;7215405606
8;130;20;268;71,80;0,00;0,46;7215405606
9;133;17;276;69,80;0,00;0,50;6005076523
10;134;16;268;68,74;0,00;0,51;7215405606
11;134;18;279;67,96;0,00;0,51;7215405606
12;136;17;273;66,42;0,00;0,53;7215405606
13;136;20;261;65,57;0,00;0,53;7215405606
