Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;15;76;81,82;0,00;0,18;3002152666
2;12;20;73;65,83;0,00;0,33;3002152666
3;12;25;65;55,83;0,00;0,33;3002152666
4;12;26;64;49,17;0,00;0,33;3002152666
5;12;31;59;39,17;0,00;0,33;3002152666
6;12;34;57;31,33;0,00;0,33;3002152666
7;11;35;56;28,36;5,00;0,36;3733402724
8;10;37;55;23,60;5,00;0,40;3733402724
9;8;40;53;22,50;6,50;0,25;3304252666
10;6;44;50;21,67;7,33;0,00;3546371043
11;5;47;50;20,00;7,71;0,00;3546371043
12;3;50;48;26,67;8,44;0,00;3546371043
13;2;54;45;30,00;8,80;0,00;1010546472
14;2;58;41;25,00;8,80;0,00;1010546472
15;2;62;36;20,00;8,80;0,00;1010546472
16;1;67;32;20,00;9,36;0,00;1055071521
17;1;72;27;10,00;9,36;0,00;1055071521
18;1;76;23;10,00;9,36;0,00;1055071521
19;0;81;19;0,00;10,08;0,00;
