Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;2;15;84;90,00;0,00;0,00;5025574565
2;2;20;78;80,00;0,00;0,00;5025574565
3;2;24;74;75,00;0,00;0,00;5025574565
4;2;28;70;70,00;0,00;0,00;5025574565
5;2;33;65;60,00;0,00;0,00;5025574565
6;2;38;60;50,00;0,00;0,00;5025574565
7;2;42;57;45,00;0,00;0,00;5025574565
8;2;45;53;45,00;0,00;0,00;5025574565
9;2;50;48;35,00;0,00;0,00;5025574565
10;2;54;45;35,00;0,00;0,00;5025574565
11;2;58;41;30,00;0,00;0,00;5025574565
12;2;63;35;20,00;0,00;0,00;5025574565
13;2;67;32;15,00;0,00;0,00;5025574565
14;1;71;28;30,00;13,00;0,00;5025574565
15;1;76;24;20,00;13,00;0,00;5025574565
16;1;80;19;20,00;13,00;0,00;5025574565
17;1;85;15;20,00;13,00;0,00;5025574565
18;1;90;10;20,00;13,00;0,00;5025574565
19;1;95;5;10,00;13,00;0,00;5025574565
20;1;100;0;10,00;13,00;0,00;5025574565
21;0;100;0;0,00;16,50;0,00;
22;0;100;0;0,00;16,50;0,00;
23;0;100;0;0,00;16,50;0,00;
24;0;100;0;0,00;16,50;0,00;
