Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;201;99,00;0,00;0,00;2276343437
2;10;18;197;100,00;0,00;0,00;2276343437
3;10;23;192;99,00;0,00;0,00;2276343437
4;10;27;188;99,00;0,00;0,00;2276343437
5;10;30;187;100,00;0,00;0,00;2276343437
6;10;33;182;101,00;0,00;0,00;2276343437
7;11;35;182;93,64;0,00;0,18;2276343437
8;11;37;178;95,36;0,00;0,18;2276343437
9;11;40;175;96,18;0,00;0,18;2276343437
10;11;42;174;97,91;0,00;0,18;2276343437
11;11;44;172;99,64;0,00;0,18;2276343437
12;11;46;169;101,36;0,00;0,18;2276343437
13;12;49;166;93,67;0,00;0,33;2276343437
14;12;48;166;97,67;0,00;0,33;2276343437
15;12;49;166;100,00;0,00;0,33;2276343437
16;12;50;163;102,33;0,00;0,33;2276343437
17;12;54;160;102,17;0,00;0,33;2276343437
18;13;58;156;94,15;0,00;0,46;2276343437
19;13;60;152;95,46;0,00;0,46;2276343437
20;14;63;151;89,14;0,00;0,57;2276343437
21;14;67;146;88,86;0,00;0,57;2276343437
22;14;68;148;90,71;0,00;0,57;2276343437
23;14;69;146;92,57;0,00;0,57;2276343437
24;14;69;145;95,14;0,00;0,57;2276343437
25;14;68;147;98,43;0,00;0,57;2276343437
26;14;69;145;100,29;0,00;0,57;2276343437
27;15;70;145;95,33;0,00;0,67;2276343437
28;15;69;143;98,33;0,00;0,67;2276343437
29;15;70;143;100,00;0,00;0,67;2276343437
30;15;70;142;102,33;0,00;0,67;2276343437
31;15;71;142;104,00;0,00;0,67;2276343437
32;16;72;142;99,06;0,00;0,75;2276343437
33;16;71;141;101,81;0,00;0,75;2276343437
34;17;71;143;97,82;0,00;0,82;2276343437
35;18;73;141;93,11;0,00;0,89;2276343437
36;18;73;137;94,89;0,00;0,89;2276343437
37;19;71;139;92,63;0,00;0,95;2276343437
38;19;70;140;94,79;0,00;0,95;2276343437
39;19;70;140;96,42;0,00;0,95;2276343437
40;19;70;137;98,05;0,00;0,95;2276343437
41;19;68;140;100,74;0,00;0,95;2276343437
42;19;67;142;102,89;0,00;0,95;2276343437
43;19;69;141;103,47;0,00;0,95;2276343437
44;19;69;140;105,11;0,00;0,95;2276343437
45;19;66;143;108,32;0,00;0,95;2276343437
46;19;64;146;111,00;0,00;0,95;2276343437
47;19;61;147;114,21;0,00;0,95;2276343437
48;19;62;148;115,32;0,00;0,95;2276343437
49;19;61;146;117,47;0,00;0,95;2276343437
50;19;61;145;119,11;0,00;0,95;2276343437
51;20;60;147;115,20;0,00;1,00;2276343437
52;20;59;149;117,20;0,00;1,00;2276343437
53;21;57;150;114,00;0,00;1,05;2276343437
54;22;56;151;110,59;0,00;1,09;2276343437
55;22;56;149;111,86;0,00;1,09;2276343437
56;22;57;150;112,68;0,00;1,09;2276343437
57;22;59;146;113,05;0,00;1,09;2276343437
58;22;60;145;113,86;0,00;1,09;2276343437
59;22;58;147;116,05;0,00;1,09;2276343437
60;22;56;149;118,23;0,00;1,09;2276343437
61;22;52;155;121,32;0,00;1,09;2276343437
62;22;52;152;122,59;0,00;1,09;2276343437
63;22;52;155;123,86;0,00;1,09;2276343437
64;23;50;156;120,57;0,00;1,13;2276343437
65;24;49;154;117,08;0,00;1,17;2276343437
66;24;50;157;117,75;0,00;1,17;2276343437
67;25;49;156;114,48;0,00;1,20;2276343437
68;25;50;153;115,08;0,00;1,20;2276343437
69;25;52;152;115,28;0,00;1,20;2276343437
70;26;54;150;111,04;0,00;1,23;0660072137
71;27;53;152;108,19;0,00;1,26;0660072137
72;27;50;152;110,15;0,00;1,26;0660072137
