Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;76;90,00;0,00;0,00;4161267277
2;11;19;73;73,64;0,00;0,18;1105020651
3;11;24;66;63,64;0,00;0,18;1105020651
4;11;27;64;55,45;0,00;0,18;1105020651
5;11;31;60;46,36;0,00;0,18;1105020651
6;11;35;55;37,27;0,00;0,18;1105020651
7;11;38;52;29,09;0,00;0,18;1105020651
8;11;36;54;26,18;0,00;0,18;1105020651
9;9;37;56;25,56;7,00;0,11;1503220651
10;8;39;56;22,50;7,67;0,00;4213067613
11;6;40;58;26,67;8,60;0,00;4213067613
12;5;43;55;26,00;9,00;0,00;7423726146
13;5;46;51;20,00;9,00;0,00;7423726146
14;3;49;51;26,67;10,00;0,00;7423726146
15;2;52;47;40,00;10,44;0,00;7423726146
16;2;55;44;40,00;10,44;0,00;7423726146
17;2;59;40;35,00;10,44;0,00;7423726146
18;2;63;35;30,00;10,44;0,00;7423726146
19;2;68;30;20,00;10,44;0,00;7423726146
20;2;72;27;15,00;10,44;0,00;7423726146
21;1;77;22;20,00;11,40;0,00;3720231722
22;1;82;17;10,00;11,40;0,00;3720231722
23;1;86;13;10,00;11,40;0,00;3720231722
24;0;91;9;0,00;12,45;0,00;
