Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;24;14;73;75,42;0,00;0,33;4435740657
2;25;17;66;63,60;0,00;0,40;4435740657
3;25;17;61;55,60;0,00;0,40;4435740657
4;25;18;63;47,20;0,00;0,40;4435740657
5;25;19;61;38,80;0,00;0,40;0602177373
6;25;21;57;30,24;0,00;0,40;0602177373
7;24;25;56;22,42;5,00;0,42;0602177373
8;22;26;56;17,27;5,33;0,45;4435740657
9;15;23;66;20,13;7,00;0,33;4435740657
10;14;24;65;14,00;7,18;0,29;4435740657
11;8;25;70;20,00;8,18;0,25;4435740657
12;4;28;69;27,50;8,71;0,00;4435740657
13;4;32;66;20,00;8,71;0,00;4435740657
14;3;35;64;23,33;8,91;0,00;4435740657
15;2;39;60;25,00;9,13;0,00;4435740657
16;1;43;57;50,00;9,38;0,00;4435740657
