Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;21;14;68;86,19;0,00;0,10;0755673332
2;23;18;65;70,00;0,00;0,26;0755673332
3;23;22;59;60,43;0,00;0,26;0755673332
4;23;27;55;50,43;0,00;0,26;0755673332
5;23;29;50;41,74;0,00;0,26;0755673332
6;23;27;55;35,04;0,00;0,26;0755673332
7;22;27;58;29,18;5,00;0,27;0755673332
8;21;28;58;22,86;5,00;0,29;0755673332
9;17;29;58;20,71;7,00;0,12;0755673332
10;16;30;58;14,63;7,29;0,06;0755673332
11;10;30;64;17,40;8,54;0,00;7023335672
12;9;30;66;14,89;8,71;0,00;7023335672
13;5;33;65;18,80;9,44;0,00;7023335672
14;4;35;64;21,00;9,63;0,00;2622370603
15;3;37;63;24,67;9,85;0,00;2622370603
16;2;42;56;22,00;10,10;0,00;4445216122
17;2;46;52;20,00;10,10;0,00;4445216122
18;1;51;48;30,00;10,32;0,00;4445216122
