Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;11;15;78;81,82;0,00;0,18;5502631021
2;12;18;73;67,50;0,00;0,33;5502631021
3;12;20;70;60,00;0,00;0,33;1363602616
4;12;24;66;51,67;0,00;0,33;1363602616
5;12;28;65;44,17;0,00;0,33;1363602616
6;12;28;63;38,33;0,00;0,33;1363602616
7;12;28;64;34,67;0,00;0,33;1363602616
8;11;31;63;31,64;6,00;0,36;1363602616
9;10;34;61;28,80;7,00;0,30;1363602616
10;10;37;57;22,60;7,00;0,30;1363602616
11;8;40;56;22,25;8,00;0,25;1003576647
12;7;44;50;18,29;8,60;0,14;6045323234
13;5;46;51;19,60;9,57;0,20;6045323234
