Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;1;15;84;90,00;0,00;0,00;5357506346
2;1;20;79;80,00;0,00;0,00;5357506346
3;1;25;74;70,00;0,00;0,00;5357506346
4;1;30;69;60,00;0,00;0,00;5357506346
5;1;34;65;60,00;0,00;0,00;5357506346
6;1;39;60;50,00;0,00;0,00;5357506346
7;1;44;55;40,00;0,00;0,00;5357506346
8;1;48;51;40,00;0,00;0,00;5357506346
9;1;53;46;30,00;0,00;0,00;5357506346
10;1;58;41;20,00;0,00;0,00;5357506346
11;1;62;37;20,00;0,00;0,00;5357506346
12;1;66;34;20,00;0,00;0,00;5357506346
13;1;70;29;20,00;0,00;0,00;5357506346
14;1;75;24;10,00;0,00;0,00;5357506346
15;1;79;20;10,00;0,00;0,00;5357506346
16;0;84;16;0,00;15,00;0,00;
17;0;89;11;0,00;15,00;0,00;
18;0;94;6;0,00;15,00;0,00;
19;0;99;1;0,00;15,00;0,00;
20;0;100;0;0,00;15,00;0,00;
21;0;100;0;0,00;15,00;0,00;
22;0;100;0;0,00;15,00;0,00;
23;0;100;0;0,00;15,00;0,00;
24;0;100;0;0,00;15,00;0,00;
25;0;100;0;0,00;15,00;0,00;
26;0;100;0;0,00;15,00;0,00;
27;0;100;0;0,00;15,00;0,00;
28;0;100;0;0,00;15,00;0,00;
29;0;100;0;0,00;15,00;0,00;
30;0;100;0;0,00;15,00;0,00;
31;0;100;0;0,00;15,00;0,00;
32;0;100;0;0,00;15,00;0,00;
33;0;100;0;0,00;15,00;0,00;
